
greetings

	おはよう。					Good morning.
	おはよう ございます。		Good morning. (polite)
	こんにちは。				Good afternoon.
	こんばんは。				Good evening.
	さようなら。				Good-bye.
	おやすみ（なさい）。		Good night.
	ありがとう。				Thank you.
	ありがとう ございます。		Thank you. (polite)
	すみません。				Excuse me. / I'm sorry.
	いいえ。					No. / Not at all.  (Ingen orsak.)
	いってきます。				I'm going. (=I'll go and come back.)
	いってらっしゃい。			"Please go and come back."
	ただいま。					I'm home.
	おかえり（なさい）。		Welcome home.
	いただきます。				(before eating) Thank you for the meal.
	ごちそうさま（でした）。	(after eating) Thank you for the meal.
	はじめまして。				How do you do?
	よろしく おねがいします。	Pleased to meet you. / Nice meeting you.

